permutation,effect_25_144ms,effect_144_262ms,effect_262_381ms,effect_381_500ms,max_absolute_effect,max_positive_effect,propensity_min,propensity_max
0,-0.013276703951385813,0.012190365676163679,-0.008346438865818238,-0.0012052013783770683,0.013276703951385813,0.012190365676163679,0.34198987269478004,0.7626633572311803
1,0.0088987454657866,0.0043645780706084245,-0.002759133530659842,-0.009738124193282651,0.009738124193282651,0.0088987454657866,0.30670212409241937,0.6943941915752231
2,0.0011602229986342272,0.010613289530206509,0.0031339113780905043,0.0033504062005985918,0.010613289530206509,0.010613289530206509,0.3641780740432586,0.7369194613313059
3,-0.0009923833200979146,-0.005932794589778185,0.004761271946713405,0.009325329070240999,0.009325329070240999,0.009325329070240999,0.28862639803389467,0.6787928225323792
4,0.008762488272771405,0.007779598771122481,-0.0016195554334449635,-0.0053511957423786295,0.008762488272771405,0.008762488272771405,0.32435994732983775,0.6222456828568212
5,-0.008015579650582118,0.006954002409329415,-0.0036950911905179497,0.0010311401244706613,0.008015579650582118,0.006954002409329415,0.3381560067760404,0.6542857584677955
6,0.0012871428456906683,-0.0013551810180483137,-0.015322966088085695,-0.004562263313978878,0.015322966088085695,0.0012871428456906683,0.2890443740175058,0.6913501742335967
7,0.0009906344872426432,0.003615103885186789,-0.0036844577109994593,0.00695369259831146,0.00695369259831146,0.00695369259831146,0.3204980363510546,0.6780074161573791
8,-0.004018139992120223,0.0005750601548895148,-0.0009099132931205817,-0.004353990753613441,0.004353990753613441,0.0005750601548895148,0.34169744392022694,0.6689212976605763
9,-0.00278310171469366,-0.007140539131231787,-0.0027577713057642668,0.0065720387607467665,0.007140539131231787,0.0065720387607467665,0.3308460658229547,0.6323747117728019
10,0.0062399412088789494,0.0008181721719439895,-0.011513060640665804,0.002767106088666242,0.011513060640665804,0.0062399412088789494,0.33274299400356094,0.6862759837138847
11,-0.0013057170180825655,-0.0030018594460431763,0.006775662249925842,0.0027569328241388467,0.006775662249925842,0.006775662249925842,0.330797166680046,0.6635308638393111
12,-0.004890996150135151,-0.004102958144778882,0.007163249076322415,0.005153482865236439,0.007163249076322415,0.007163249076322415,0.35897375178003205,0.6675463595917062
13,0.009365058842395604,-0.0004889233209698113,0.007856990214778266,-0.0021735180441851496,0.009365058842395604,0.009365058842395604,0.3569458985430595,0.7116636564482969
14,0.0010567472354144143,-0.007545771522113677,-0.004596607033236638,0.003950099784463567,0.007545771522113677,0.003950099784463567,0.33067631005195997,0.6534783641178782
15,0.009318015921334601,-0.008998778822514954,-0.0010552208997597979,0.00718499191693693,0.009318015921334601,0.009318015921334601,0.3408726013772772,0.6927164745940342
16,-0.009203304386470728,0.00844409998188852,0.005395304548352258,0.0035370757740810833,0.009203304386470728,0.00844409998188852,0.28819414241791197,0.679379455930512
17,-0.005962602007462139,-0.0009728158427031067,0.006070825334839136,0.005435160952561134,0.006070825334839136,0.006070825334839136,0.3110857392541976,0.7210392783423554
18,0.009883543693981709,0.0004242659572142454,-0.007795621628847652,-0.0011512055759130796,0.009883543693981709,0.009883543693981709,0.2941226832260958,0.6904993019251925
19,-0.0007800341528189728,0.0022239801216591927,-0.007043425930753406,0.0038831585281022055,0.007043425930753406,0.0038831585281022055,0.2939346171346704,0.6995701912008809
20,0.014750938294180942,0.0025734584685572267,-0.007558687962217687,-0.008572774569091836,0.014750938294180942,0.014750938294180942,0.2988481596020034,0.6780755319848727
21,0.0009450043959380246,0.0023258122749595994,0.0036726787067099228,-0.0008252260030586151,0.0036726787067099228,0.0036726787067099228,0.25768927192758556,0.6890198357170487
22,-0.003372384381733406,-0.0013567880861805278,-0.0006253328321726362,-0.0043294686435720485,0.0043294686435720485,-0.0006253328321726362,0.35269383724704134,0.7029657788989728
23,-0.009308621141969998,-0.0013106785469460523,-0.0053074142440042915,0.005411186965155944,0.009308621141969998,0.005411186965155944,0.26825198446947884,0.7149611668351731
24,0.000865324934835046,0.002776489133114352,-4.3202073047356464e-05,-0.0063806986785398655,0.0063806986785398655,0.002776489133114352,0.3604830598000612,0.671402148851895
25,-0.004394293366894282,0.01404610437283317,-0.007445657538802414,-0.0056471271785383595,0.01404610437283317,0.01404610437283317,0.3021622969706565,0.7189162659551379
26,0.00262859198650754,-0.004154678886322527,-0.007443383567420438,-0.0021819978177221155,0.007443383567420438,0.00262859198650754,0.3405242867555093,0.6874439990729786
27,-0.0010495077902046477,0.0004990609550771083,-0.003396001668401998,0.0010053674203030975,0.003396001668401998,0.0010053674203030975,0.35298067453591,0.6652173669332146
28,0.0009398933728112803,-2.765716570221944e-05,-0.007521040791701279,-0.00500355864462683,0.007521040791701279,0.0009398933728112803,0.22748101269289378,0.649716212020945
29,0.0021364851818807176,0.014954427987418768,0.0019132306019008188,-0.0022273126142701985,0.014954427987418768,0.014954427987418768,0.31779607696768924,0.6651472859153992
30,-0.005719376083675488,-0.009540636072798092,-0.0018320908157773133,0.004288179111287267,0.009540636072798092,0.004288179111287267,0.23056679018068824,0.6555945925090358
31,0.006864155367628353,-0.0014494893055083326,-0.006221493339925359,-0.009579981153010446,0.009579981153010446,0.006864155367628353,0.3138026552480676,0.6532591042280462
32,-0.0013091312457571918,-0.001191249819373154,-0.0037882183005611535,-0.002293103284627959,0.0037882183005611535,-0.001191249819373154,0.33886018033365234,0.6796194629843676
33,0.003662291813434174,-0.0012809823713347218,0.007866805472352804,0.002589156619865237,0.007866805472352804,0.007866805472352804,0.3213966408517827,0.7019334333307885
34,0.001826020482270366,-0.004717168785959471,0.002443373149659712,-0.000737406853803569,0.004717168785959471,0.002443373149659712,0.3116504329425996,0.6641593858760301
35,0.002712370998402263,-0.004358802322674076,0.0003740641547492396,-0.0010515493568645166,0.004358802322674076,0.002712370998402263,0.3424680898738271,0.6714078485925294
